,ClocsCNN_0,ClocsCNN_1,ClocsCNN_2,val_auroc,test_auroc,test_tpr
103,0.01,0.02,0.97,0.9497588872909546,0.9510819911956787,0.8306378495912138
104,0.01,0.03,0.96,0.9498428106307983,0.9512538909912109,0.8320003055234272
105,0.01,0.04,0.95,0.9499257802963257,0.9514198303222656,0.832815513239157
106,0.01,0.05,0.94,0.950005054473877,0.9515788555145264,0.8336490408746698
107,0.01,0.06,0.93,0.9500819444656372,0.9517322778701782,0.8338316274941986
108,0.01,0.07,0.92,0.9501568078994751,0.9518800973892212,0.8345663385927009
109,0.01,0.08,0.91,0.9502290487289429,0.9520220756530762,0.8351631673653366
110,0.01,0.09,0.9,0.9503012895584106,0.9521582126617432,0.8359269759330864
111,0.01,0.1,0.89,0.950370192527771,0.9522886276245117,0.8370073434738015
112,0.01,0.11,0.88,0.9504357576370239,0.9524136781692505,0.8383572759213813
113,0.01,0.12,0.87,0.9504993557929993,0.9525334239006042,0.8390764463260808
114,0.01,0.13,0.86,0.9505617618560791,0.9526483416557312,0.8395041791240209
115,0.01,0.14,0.85,0.950621485710144,0.9527574777603149,0.8402483469000283
116,0.01,0.15,0.84,0.9506804943084717,0.9528617858886719,0.8411032669183598
117,0.01,0.16,0.83,0.9507383108139038,0.9529604911804199,0.8416177465464942
118,0.01,0.17,0.82,0.9507928490638733,0.9530549049377441,0.8420364525159062
119,0.01,0.18,0.81,0.9508475661277771,0.9531452059745789,0.8426259738559236
120,0.01,0.19,0.8,0.9508992433547974,0.9532307386398315,0.8432359295550269
121,0.01,0.2,0.79,0.9509527683258057,0.9533117413520813,0.8438059974733698
122,0.01,0.21,0.78,0.9510031342506409,0.9533882141113281,0.8442921676887152
123,0.01,0.22,0.77,0.9510537385940552,0.9534614682197571,0.8447031694418379
124,0.01,0.23,0.76,0.9511034488677979,0.9535300731658936,0.8454124202547484
125,0.01,0.24,0.75,0.9511505961418152,0.9535950422286987,0.8458052360895912
126,0.01,0.25,0.74,0.9511977434158325,0.9536570906639099,0.8459357200532485
127,0.01,0.26,0.73,0.9512421488761902,0.9537161588668823,0.8463067127861554
128,0.01,0.27,0.72,0.9512838125228882,0.9537707567214966,0.8463306438013464
129,0.01,0.28,0.71,0.9513235092163086,0.9538236856460571,0.8466414246120945
130,0.01,0.29,0.7,0.951357901096344,0.9538735151290894,0.8471595674037681
131,0.01,0.3,0.69,0.951388955116272,0.9539210796356201,0.8475165309997162
132,0.01,0.31,0.68,0.9514201283454895,0.9539660215377808,0.8478275102023002
133,0.01,0.32,0.67,0.951445996761322,0.954007625579834,0.8482621536491863
134,0.01,0.33,0.66,0.9514720439910889,0.9540481567382812,0.8485685863722003
135,0.01,0.34,0.65,0.9514979124069214,0.954086422920227,0.8486827030094057
136,0.01,0.35,0.64,0.9515200853347778,0.9541220664978027,0.8488613796565043
137,0.01,0.36,0.63,0.9515414237976074,0.9541558027267456,0.8486706755043617
138,0.01,0.37,0.62,0.9515612721443176,0.9541882872581482,0.8490426601964476
139,0.01,0.38,0.61,0.9515790939331055,0.954218864440918,0.8490459667270439
140,0.01,0.39,0.6,0.9515949487686157,0.9542471170425415,0.8488736551513432
141,0.01,0.4,0.59,0.9516084790229797,0.9542739391326904,0.8491085262859261
142,0.01,0.41,0.58,0.9516200423240662,0.9542990326881409,0.8494460569291987
143,0.01,0.42,0.57,0.951628565788269,0.954322099685669,0.849792953320385
144,0.01,0.43,0.56,0.9516379833221436,0.9543434381484985,0.8502280514152282
145,0.01,0.44,0.55,0.9516439437866211,0.9543626308441162,0.8503947005572828
146,0.01,0.45,0.54,0.9516500234603882,0.9543805718421936,0.8502947331155872
147,0.01,0.46,0.53,0.9516552686691284,0.9543971419334412,0.85006110468542
148,0.01,0.47,0.52,0.951657235622406,0.9544117450714111,0.8502498745171638
149,0.01,0.48,0.51,0.9516583681106567,0.9544245004653931,0.850279335704777
150,0.01,0.49,0.5,0.951657772064209,0.9544341564178467,0.8505290283627582
151,0.01,0.5,0.49,0.9516546130180359,0.95444256067276,0.8505840407655545
152,0.01,0.51,0.48,0.9516496658325195,0.9544485807418823,0.8502518584355218
153,0.01,0.52,0.47,0.9516429901123047,0.9544522166252136,0.8499268926085154
154,0.01,0.53,0.46,0.9516345262527466,0.9544538259506226,0.8500340682869107
155,0.01,0.54,0.45,0.9516258239746094,0.954453706741333,0.8503289832616808
156,0.01,0.55,0.44,0.9516158103942871,0.9544504880905151,0.8502389629661962
157,0.01,0.56,0.43,0.9516055583953857,0.9544450640678406,0.8503186172882614
158,0.01,0.57,0.42,0.9515960216522217,0.9544380307197571,0.8501939528184537
159,0.01,0.58,0.41,0.9515862464904785,0.9544289112091064,0.8500671060384524
160,0.01,0.59,0.4,0.9515746235847473,0.9544171094894409,0.8497228466054165
161,0.01,0.6,0.39,0.9515633583068848,0.9544028639793396,0.8495324400410275
162,0.01,0.61,0.38,0.9515506029129028,0.95438551902771,0.8493474892521224
163,0.01,0.62,0.37,0.9515380263328552,0.95436692237854,0.8490132320741403
164,0.01,0.63,0.36,0.9515258073806763,0.9543453454971313,0.8485952866067656
165,0.01,0.64,0.35,0.9515125751495361,0.9543221592903137,0.8478533011409514
166,0.01,0.65,0.34,0.9514998197555542,0.954296350479126,0.8476134759333154
167,0.01,0.66,0.33,0.9514846801757812,0.9542683362960815,0.8470691574100343
168,0.01,0.67,0.32,0.951468825340271,0.9542374610900879,0.8465338852153335
169,0.01,0.68,0.31,0.9514518976211548,0.9542042016983032,0.8459561792113132
170,0.01,0.69,0.3,0.9514342546463013,0.9541686177253723,0.845373775178404
171,0.01,0.7,0.29,0.9514145851135254,0.9541299939155579,0.8450876197542717
172,0.01,0.71,0.28,0.9513914585113525,0.9540891647338867,0.8443325404272966
173,0.01,0.72,0.27,0.9513697624206543,0.9540457725524902,0.8436942146956768
174,0.01,0.73,0.26,0.9513450860977173,0.9540003538131714,0.8430741658119285
175,0.01,0.74,0.25,0.9513209462165833,0.9539526104927063,0.8421853290560053
176,0.01,0.75,0.24,0.9512927532196045,0.9539018869400024,0.8413936629679815
177,0.01,0.76,0.23,0.9512630701065063,0.9538483619689941,0.8404513017480305
178,0.01,0.77,0.22,0.9512314200401306,0.9537920951843262,0.8396092937316778
179,0.01,0.78,0.21,0.9511991739273071,0.9537338018417358,0.8388456250556069
180,0.01,0.79,0.2,0.9511646628379822,0.9536722898483276,0.8375531938109683
181,0.01,0.8,0.19,0.9511301517486572,0.953607976436615,0.8362442926526465
182,0.01,0.81,0.18,0.9510946273803711,0.9535411596298218,0.8345899802864647
183,0.01,0.82,0.17,0.9510587453842163,0.9534716606140137,0.8331937564105363
184,0.01,0.83,0.16,0.9510203003883362,0.9533995389938354,0.8317138773105208
185,0.01,0.84,0.15,0.9509804844856262,0.9533249139785767,0.8300398635328693
186,0.01,0.85,0.14,0.9509412050247192,0.9532474875450134,0.828292858092304
187,0.01,0.86,0.13,0.9508997201919556,0.9531670808792114,0.8265358007987256
188,0.01,0.87,0.12,0.9508590698242188,0.9530841112136841,0.8246016677699456
189,0.01,0.88,0.11,0.9508159160614014,0.9529987573623657,0.8232320349706815
190,0.01,0.89,0.1,0.950771689414978,0.9529112577438354,0.8213099233001903
191,0.01,0.9,0.09,0.9507244825363159,0.9528211355209351,0.8194525178899841
192,0.01,0.91,0.08,0.9506754875183105,0.952728271484375,0.8176963533596666
193,0.01,0.92,0.07,0.9506243467330933,0.9526330232620239,0.8161338192610698
194,0.01,0.93,0.06,0.9505705833435059,0.9525349736213684,0.8147436876677652
195,0.01,0.94,0.05,0.9505163431167603,0.952433705329895,0.8132288006750613
196,0.01,0.95,0.04,0.9504609107971191,0.9523304104804993,0.8118670060489671
197,0.01,0.96,0.03,0.9504042863845825,0.952224612236023,0.8108700870741767
198,0.01,0.97,0.02,0.9503467082977295,0.9521164894104004,0.8096395066039132
199,0.01,0.98,0.01,0.9502891898155212,0.9520065188407898,0.8084686365653347
200,0.01,0.99,0.0,0.9502313733100891,0.9518941044807434,0.8070728673373634
201,0.02,0.0,0.98,0.9496629238128662,0.950791597366333,0.8292596876386676
202,0.02,0.01,0.97,0.9497492909431458,0.9509720206260681,0.8302610042991511
203,0.02,0.02,0.96,0.9498341083526611,0.9511468410491943,0.8312704906336924
204,0.02,0.03,0.95,0.9499173164367676,0.9513156414031982,0.8325904385716053
